id,name,original_language,rating,rating_votes,release_freq,activity_all_time_rank,activity_month_rank,activity_week_rank,on_reading_lists,reading_list_all_time_rank,reading_list_month_rank
28542,The Baby Isn’t Yours,korean,4.1,135,10.1,2016,751,2216,6537,645,1878
28551,Evil Awe-Inspiring,chinese,1.7,3,45.8,11772,2000,2000,103,11354,9945
28555,The Female Supporting Character Just Wants To Live A Good Life,chinese,4.2,360,18.6,747,810,1811,6366,673,860
28561,Residual Washing Guide,chinese,4.3,35,45.5,6915,2000,6928,420,8043,10280
28564,Pure and Innocent Landowner,chinese,3.7,66,57.3,4854,5307,6928,1220,4650,3661
28567,"Even Until Death, the Scum Gong Thought I Was a White Lotus",chinese,3.8,69,26.7,2242,4636,4705,2950,2141,2378
28572,Going Against the Wind,chinese,3.7,50,8.3,5664,5167,6928,711,6369,7858
28574,The Days of Cultivating Immortal,chinese,4.3,3,411,11659,2000,2000,79,11617,10426
28603,Where is Our Agreement to be Each Other’s Arch-Rivals?,chinese,4.4,326,7.5,1239,206,303,5768,814,829
28605,I Need to Skip Out on this Marriage,chinese,3.8,21,686,8195,5313,2000,519,7373,7070
28611,A VIP as Soon as You Log In,korean,3.9,400,22.1,457,1064,2923,6636,627,201
28619,"I Reincarnated as a Villain of an RPG, But I Want to Survive",japanese,3.6,118,11.6,1339,3756,2877,2048,3096,3066
28630,Demonic Prince’s Wild Consort: The Trash Illegitimate Miss,chinese,3.4,18,35.9,5589,2000,6928,673,6565,6684
28632,I Don’t Want to Regret,korean,3.3,25,137,8855,2000,6928,1175,4749,3807
28638,I Trick Even the Lames to Stand Up for Me,chinese,4.7,115,12,2569,2320,1228,3324,1838,2363
28641,Supreme Pupillary Master: Peerless Eldest Miss,chinese,3,26,39.1,6244,2000,6928,667,6592,7616
28645,Liu in the Imperial Harem,chinese,4.6,67,45.3,4822,2000,2000,523,7348,6974
28649,Heavenly Wife,chinese,4.1,64,34.1,3318,5226,5639,2288,2783,9944
28658,Daomu Biji,chinese,3.8,51,2.3,5358,3445,1748,1059,5051,8722
28660,The Days of Being an Assistant for the CEO of a Mary Sue Novel,chinese,3.7,65,6.3,4442,6612,2000,1021,5162,4093
28662,The Female Supporting Character Ran Off With The Bun,chinese,3.6,121,27.9,828,803,2498,4233,1325,917
